distance,depth
4.166666666666629, -6.666666666666686
26.370370370370324, -7.7777777777777715
58.53703703703707, -11.111111111111114
86.22222222222217, -16.666666666666686
122.75925925925924, -24.444444444444457
147.07407407407402, -32.22222222222223
189.03703703703707, -47.777777777777715
239.76851851851848, -70.5555555555556
308.05555555555554, -106.66666666666669
366.37037037037044, -141.11111111111114
442.2777777777778, -186.66666666666669
511.57407407407413, -228.88888888888897
541.2962962962963, -245.55555555555554
